 名称 , 产地 , 供应商 , 抑制率1 , 抑制率2 , 结果 , 年份 
南瓜,琼山大荒洋,鑫源丰,12.10%,10.40%,合格,04-10
尖椒,云南通海,广西泽元,12.80%,19.00%,合格,04-10
金针菇,福建漳州,自采,6.41%,4.40%,合格,04-10
杏鲍菇,辽宁大连,自采,10.40%,14.10%,合格,04-10
白玉菇,福建漳州,自采,24.90%,21.40%,合格,04-10
秋葵,海口秀英,自采,17.90%,10.30%,合格,04-10
虫草花,福建漳州,自采,0.00%,0.00%,合格,04-10
平菇,海口秀英,自采,27.70%,20.10%,合格,04-10
鲜香菇,福建漳州,自采,7.33%,2.93%,合格,04-10
地瓜叶,琼山大荒洋,昌木达,3.30%,8.06%,合格,04-10
苋菜,琼山大荒洋,昌木达,1.65%,3.30%,合格,04-10
菜心,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-10
本地小白菜,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-10
上海青,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-10
小芥菜,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-10
黑叶白,琼山大荒洋,鑫源丰,7.69%,0.00%,合格,04-10
青梗小白菜,琼山大荒洋,鑫源丰,2.01%,2.56%,合格,04-10
地瓜叶,琼山大荒洋,鑫源丰,5.68%,8.06%,合格,04-10
地瓜叶,琼山七水洋,龙地园,13.70%,8.06%,合格,04-10
香梨,乌鲁木齐,玉玉橙橙,13.90%,5.86%,合格,04-10
丑苹果,四川凉山,椰枝花,10.10%,5.31%,合格,04-10
红富士,山西运城,椰枝花,0.00%,0.00%,合格,04-10
蜜梨,四川华蓥,椰枝花,0.00%,0.00%,合格,04-10
贡梨,安徽砀山,椰枝花,1.10%,0.00%,合格,04-10
沃柑,广西武鸣,椰枝花,25.60%,13.20%,合格,04-10
芭蕉,海南乐东,椰枝花,29.50%,25.80%,合格,04-10
丑苹果,陕西延安,玉玉橙橙,4.40%,5.68%,合格,04-18
金针菇,福建漳州,自采,4.76%,2.93%,合格,04-18
杏鲍菇,辽宁大连,自采,4.03%,2.20%,合格,04-18
白玉菇,福建漳州,自采,0.55%,0.00%,合格,04-18
秋葵,海口秀英,自采,0.00%,0.00%,合格,04-18
虫草花,福建漳州,自采,3.11%,2.56%,合格,04-18
鲜香菇,福建漳州,自采,3.66%,3.66%,合格,04-18
平菇,海口秀英,自采,4.76%,0.00%,合格,04-18
娃娃菜,云南通海,广西泽元,0.55%,0.00%,合格,04-18
菜心,琼山大荒洋,鑫源丰,4.95%,4.58%,合格,04-18
本地小白菜,琼山大荒洋,鑫源丰,9.34%,8.42%,合格,04-18
上海青,琼山大荒洋,鑫源丰,5.86%,5.13%,合格,04-18
黑叶白,琼山大荒洋,鑫源丰,1.10%,0.00%,合格,04-18
青梗小白菜,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-18
地瓜叶,琼山大荒洋,鑫源丰,0.00%,0.92%,合格,04-18
空心菜,琼山大荒洋,鑫源丰,6.78%,0.00%,合格,04-18
芥兰,琼山大荒洋,鑫源丰,7.33%,7.88%,合格,04-18
茄子,琼山大荒洋,鑫源丰,5.13%,3.48%,合格,04-18
泡椒,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-18
菜心,琼山大荒洋,展琼,4.40%,6.59%,合格,04-18
西红柿,云南通海,广西泽元,2.20%,4.40%,合格,04-11
娃娃菜,云南通海,广西泽元,0.55%,0.37%,合格,04-11
菜心,云南通海,广西泽元,3.48%,2.38%,合格,04-11
莲花白,云南通海,广西泽元,0.37%,2.56%,合格,04-11
外地大白菜,云南通海,广西泽元,7.14%,5.13%,合格,04-11
茄子,云南通海,广西泽元,0.37%,0.00%,合格,04-11
西芹,云南通海,广西泽元,8.97%,11.20%,合格,04-11
大葱,云南通海,广西泽元,6.41%,5.86%,合格,04-11
小葱,云南通海,广西泽元,0.00%,2.38%,合格,04-11
韭菜,云南通海,广西泽元,6.04%,7.88%,合格,04-11
金丝白,云南通海,广西泽元,6.04%,4.58%,合格,04-11
生菜,云南通海,广西泽元,3.30%,2.20%,合格,04-11
圆椒,云南通海,广西泽元,2.56%,0.73%,合格,04-11
西兰花,云南通海,广西泽元,2.38%,4.03%,合格,04-11
芋头,琼山七水洋,泳旺,5.49%,4.58%,合格,04-11
土豆,云南通海,广西泽元,4.58%,5.68%,合格,04-11
苦瓜,云南通海,广西泽元,4.95%,0.00%,合格,04-11
胡萝卜,云南通海,广西泽元,3.48%,2.38%,合格,04-11
蒜头,琼山大荒洋,进利,1.47%,2.56%,合格,04-11
冬瓜,云南通海,广西泽元,2.93%,0.00%,合格,04-11
外地大白菜,云南通海,银川物流,4.76%,7.33%,合格,04-08
胡萝卜,云南通海,银川物流,0.00%,0.55%,合格,04-08
土豆,云南通海,银川物流,1.47%,2.38%,合格,04-08
大葱,云南通海,银川物流,1.83%,0.00%,合格,04-08
蒜苔,云南通海,银川物流,7.69%,5.86%,合格,04-08
莴笋,云南通海,银川物流,0.00%,0.00%,合格,04-08
山药,河北蠡县,中商,0.00%,3.66%,合格,04-08
本地大黄瓜,云南通海,东北亚贸易,3.30%,2.20%,合格,04-08
娃娃菜,云南通海,银川物流,0.00%,0.00%,合格,04-08
金丝白,云南通海,银川物流,0.00%,0.00%,合格,04-08
冬瓜,云南通海,银川物流,3.48%,0.00%,合格,04-08
南瓜,云南通海,银川物流,0.00%,0.00%,合格,04-08
蒜苗,云南通海,东北亚贸易,8.79%,5.68%,合格,04-08
小芥菜,海口秀英,自采,5.68%,4.95%,合格,04-08
西芹,云南通海,银川物流,3.30%,0.73%,合格,04-08
茄子,云南通海,银川物流,2.01%,2.01%,合格,04-08
苦瓜,云南通海,银川物流,0.00%,1.10%,合格,04-08
白萝卜,云南通海,银川物流,3.66%,1.83%,合格,04-08
香芋南瓜,海南海口,琼山许英梅,3.30%,2.56%,合格,04-08
空心菜,海南临高,东北亚贸易,6.23%,9.71%,合格,04-08
金针菇,福建漳州,自采,9.52%,7.14%,合格,04-09
杏鲍菇,辽宁大连,自采,6.23%,5.86%,合格,04-09
白玉菇,福建漳州,自采,7.69%,3.66%,合格,04-09
秋葵,海口秀英,自采,4.03%,6.78%,合格,04-09
虫草花,福建漳州,自采,2.01%,6.04%,合格,04-09
平菇,海口秀英,自采,8.06%,4.95%,合格,04-09
鲜香菇,福建漳州,自采,6.04%,3.48%,合格,04-09
小黄白,云南通海,银川物流,12.50%,10.30%,合格,04-09
小香芹,云南通海,广西泽元,0.00%,0.92%,合格,04-08
小葱,云南通海,银川物流,0.37%,2.38%,合格,04-08
尖椒,云南通海,银川物流,0.37%,2.56%,合格,04-08
圆椒,云南通海,银川物流,2.93%,2.75%,合格,04-08
韭菜,云南通海,银川物流,2.38%,2.20%,合格,04-08
上海青,云南通海,银川物流,4.76%,6.23%,合格,04-08
黄瓜,云南通海,银川物流,3.85%,3.66%,合格,04-08
地瓜,海南琼海,秀英东南鸿,4.58%,1.47%,合格,04-08
小黄白,云南通海,银川物流,15.90%,15.40%,合格,04-08
油麦菜,云南通海,银川物流,8.97%,9.89%,合格,04-08
生菜,云南通海,银川物流,3.11%,3.48%,合格,04-08
莲花白,云南通海,银川物流,4.58%,4.03%,合格,04-08
黄瓜,云南通海,银川物流,0.00%,0.00%,合格,04-07
皇帝菜,山东寿光,中商,12.80%,16.50%,合格,04-07
地瓜,海南琼海,秀英东南鸿,0.00%,1.10%,合格,04-07
莴笋,云南通海,银川物流,5.86%,6.96%,合格,04-07
土豆,云南通海,银川物流,3.48%,4.03%,合格,04-07
小黄白,云南通海,银川物流,4.40%,1.65%,合格,04-07
金丝白,云南通海,银川物流,3.11%,1.10%,合格,04-07
大葱,云南通海,银川物流,0.00%,1.47%,合格,04-07
小葱,云南通海,银川物流,0.00%,0.55%,合格,04-07
西芹,云南通海,银川物流,7.14%,9.52%,合格,04-07
白萝卜,云南通海,银川物流,0.00%,1.83%,合格,04-07
胡萝卜,云南通海,银川物流,9.16%,6.04%,合格,04-07
娃娃菜,云南通海,银川物流,5.68%,2.75%,合格,04-07
西红柿,云南通海,银川物流,4.58%,1.65%,合格,04-07
香菜,琼山七水洋,泳旺,0.00%,0.55%,合格,04-07
大芥菜,云南陆良,中商,8.42%,8.06%,合格,04-07
西兰花,云南陆良,中商,2.01%,2.56%,合格,04-07
蒜苔,云南通海,银川物流,6.78%,7.88%,合格,04-07
冬瓜,云南通海,银川物流,3.85%,1.47%,合格,04-07
南瓜,云南通海,银川物流,4.58%,6.23%,合格,04-07
香菜,琼山七水洋,泳旺,10.10%,7.14%,合格,04-08
大芥菜,云南陆良,中商,7.14%,4.76%,合格,04-08
皇帝菜,山东寿光,中商,3.48%,0.00%,合格,04-08
西红柿,云南通海,银川物流,0.18%,0.37%,合格,04-08
生姜,云南通海,东北亚贸易,0.00%,1.28%,合格,04-08
蒜头,云南通海,东北亚贸易,4.21%,3.85%,合格,04-08
香梨,乌鲁木齐,玉玉橙橙,8.24%,1.65%,合格,04-08
丑苹果,陕西延安,玉玉橙橙,3.48%,1.28%,合格,04-08
菠菜,云南通海,中商,4.58%,4.40%,合格,04-08
金针菇,福建漳州,自采,4.40%,0.00%,合格,04-08
杏鲍菇,辽宁大连,自采,0.18%,3.66%,合格,04-08
白玉菇,福建漳州,自采,0.18%,1.10%,合格,04-08
秋葵,海口秀英,自采,0.73%,1.28%,合格,04-08
虫草花,福建漳州,自采,3.11%,0.00%,合格,04-08
鲜香菇,福建漳州,自采,4.21%,0.18%,合格,04-08
菜心,琼山大荒洋,鑫源丰,8.42%,2.75%,合格,04-08
本地小白菜,琼山大荒洋,鑫源丰,2.56%,4.03%,合格,04-08
上海青,琼山大荒洋,鑫源丰,5.68%,2.20%,合格,04-08
小芥菜,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-08
黑叶白,琼山大荒洋,鑫源丰,0.55%,0.00%,合格,04-08
青梗小白菜,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-08
地瓜叶,琼山大荒洋,鑫源丰,8.61%,2.38%,合格,04-08
芥兰,琼山大荒洋,鑫源丰,9.34%,2.20%,合格,04-08
泡椒,琼山大荒洋,鑫源丰,17.60%,17.80%,合格,04-08
线椒,琼山大荒洋,鑫源丰,2.93%,3.48%,合格,04-08
茄子,琼山大荒洋,鑫源丰,5.31%,1.28%,合格,04-08
本地小白菜,琼山龙湾,光伏,0.00%,0.00%,合格,04-08
黑叶白,琼山龙湾,光伏,1.65%,2.01%,合格,04-08
菜心,琼山大荒洋,恒鑫,2.20%,2.93%,合格,04-08
地瓜叶,琼山大荒洋,恒鑫,8.24%,4.58%,合格,04-08
地瓜叶,琼山七水洋,泳旺,6.78%,3.11%,合格,04-08
泡椒,琼山七水洋,泳旺,3.48%,4.76%,合格,04-08
莲藕,琼山七水洋,泳旺,5.31%,4.03%,合格,04-08
地瓜叶,琼山七水洋,龙地园,4.58%,3.85%,合格,04-08
圆茄子,琼山大荒洋,湘满园,5.13%,5.31%,合格,04-08
地瓜叶,琼山大荒洋,昌木达,3.11%,3.66%,合格,04-08
白洋葱,甘肃张掖,东北亚贸易,1.10%,2.93%,合格,04-08
菜心,云南通海,银川物流,7.33%,2.56%,合格,04-08
西兰花,云南陆良,中商,6.04%,7.14%,合格,04-08
绿橙,海南琼中,椰枝花,2.56%,2.93%,合格,04-08
丑苹果,四川凉山,椰枝花,4.76%,1.65%,合格,04-06
红富士,山西运城,椰枝花,0.00%,0.73%,合格,04-06
蜜梨,四川华蓥,椰枝花,0.55%,0.00%,合格,04-06
贡梨,安徽砀山,椰枝花,7.88%,20.90%,合格,04-06
沃柑,广西武鸣,椰枝花,1.83%,0.18%,合格,04-06
香蕉,海南乐东,椰枝花,0.00%,0.00%,合格,04-06
芭蕉,海南乐东,椰枝花,15.60%,9.34%,合格,04-06
生菜,云南通海,银川物流,11.40%,8.79%,合格,04-05
尖椒,云南通海,银川物流,2.93%,2.75%,合格,04-05
韭菜,云南通海,银川物流,3.48%,6.23%,合格,04-05
小葱,云南通海,银川物流,12.80%,13.40%,合格,04-05
白萝卜,云南通海,银川物流,7.14%,8.79%,合格,04-05
胡萝卜,云南通海,银川物流,2.93%,7.51%,合格,04-05
娃娃菜,云南通海,银川物流,3.30%,2.38%,合格,04-05
本地大黄瓜,海南澄迈,秀英好良心,5.68%,4.95%,合格,04-05
西红柿,云南通海,银川物流,5.49%,5.49%,合格,04-05
西芹,云南通海,银川物流,0.00%,0.00%,合格,04-05
小香芹,云南通海,东北亚,0.92%,0.00%,合格,04-05
蒜苗,云南通海,东北亚,4.95%,5.31%,合格,04-05
苦瓜,云南通海,银川物流,19.00%,18.90%,合格,04-05
本地大黄瓜,云南通海,东北亚贸易,6.04%,2.38%,合格,04-07
香梨,乌鲁木齐,玉玉橙橙,2.20%,0.00%,合格,04-07
蜜梨,安徽淮化,玉玉橙橙,0.18%,0.00%,合格,04-07
丑苹果,陕西延安,玉玉橙橙,0.00%,0.00%,合格,04-07
沃柑,广西南宁,玉玉橙橙,0.73%,2.38%,合格,04-07
生姜,云南通海,东北亚贸易,3.85%,6.23%,合格,04-07
蒜头,云南通海,东北亚贸易,0.00%,4.03%,合格,04-07
苦瓜,云南通海,银川物流,0.73%,3.48%,合格,04-07
菠菜,云南通海,中商,8.24%,2.75%,合格,04-07
金针菇,福建漳州,自采,6.23%,6.23%,合格,04-07
杏鲍菇,辽宁大连,自采,6.78%,10.10%,合格,04-07
白玉菇,福建漳州,自采,13.00%,18.30%,合格,04-07
秋葵,海口秀英,自采,17.20%,6.41%,合格,04-07
虫草花,福建漳州,自采,6.41%,3.30%,合格,04-07
平菇,海口秀英,自采,4.03%,12.10%,合格,04-07
鲜香菇,福建漳州,自采,8.61%,6.59%,合格,04-07
茄子,云南通海,银川物流,8.42%,6.04%,合格,04-07
丑苹果,四川凉山,椰枝花,8.97%,7.51%,合格,04-07
红富士,山西运城,椰枝花,6.59%,6.96%,合格,04-07
蜜梨,四川华蓥,椰枝花,4.76%,6.96%,合格,04-07
山药,河北蠡县,中商,0.55%,0.00%,合格,04-06
本地大黄瓜,海南澄迈,秀英好良心,4.58%,9.52%,合格,04-06
冬瓜,云南通海,银川物流,0.00%,0.00%,合格,04-06
南瓜,云南通海,银川物流,7.69%,0.00%,合格,04-06
蒜苗,云南通海,东北亚,8.79%,8.61%,合格,04-06
小香芹,云南通海,东北亚,6.78%,14.10%,合格,04-06
菠菜,云南通海,东北亚,0.00%,5.68%,合格,04-06
皇帝菜,山东寿光,中商,0.37%,1.47%,合格,04-06
西红柿,云南通海,银川物流,3.85%,5.86%,合格,04-06
大芥菜,云南陆良,东北亚,8.79%,7.33%,合格,04-06
西芹,云南通海,银川物流,10.80%,9.16%,合格,04-06
莲藕,琼山七水洋,泳旺,6.04%,8.42%,合格,04-06
蒜苔,云南通海,银川物流,9.34%,0.18%,合格,04-06
茄子,云南通海,银川物流,10.40%,13.90%,合格,04-06
土豆,云南通海,银川物流,13.40%,14.50%,合格,04-06
娃娃菜,云南通海,银川物流,8.61%,10.80%,合格,04-06
西兰花,云南陆良,中商,6.96%,4.95%,合格,04-06
地瓜叶,海口秀英,自采,0.00%,3.30%,合格,04-06
生姜,琼山七水洋,进利,7.51%,8.61%,合格,04-06
蒜头,琼山七水洋,进利,8.79%,0.00%,合格,04-06
丑苹果,四川凉山,椰枝花,0.00%,0.00%,合格,04-08
红富士,山西运城,椰枝花,0.18%,0.00%,合格,04-08
蜜梨,四川华蓥,椰枝花,2.75%,4.58%,合格,04-08
贡梨,安徽砀山,椰枝花,2.01%,4.58%,合格,04-08
沃柑,广西武鸣,椰枝花,6.96%,3.30%,合格,04-08
库尔勒香梨,新疆库尔勒,椰枝花,11.50%,9.89%,合格,04-08
芭蕉,海南乐东,椰枝花,7.33%,4.21%,合格,04-08
平菇,海口秀英,自采,6.23%,2.56%,合格,04-08
本地小白菜,琼山七水洋,泳旺,16.10%,15.00%,合格,04-08
蒜苗,云南通海,东北亚贸易,4.21%,0.37%,合格,04-07
小香芹,云南通海,广西泽元,2.93%,2.56%,合格,04-07
韭菜,云南通海,银川物流,21.20%,22.70%,合格,04-07
油麦菜,云南通海,银川物流,0.00%,0.00%,合格,04-07
上海青,云南通海,银川物流,6.04%,6.41%,合格,04-07
本地小白菜,琼山七水洋,泳旺,5.49%,6.41%,合格,04-07
生菜,云南通海,银川物流,8.79%,5.68%,合格,04-07
圆椒,云南通海,银川物流,0.00%,0.00%,合格,04-07
外地大白菜,云南通海,银川物流,2.75%,3.85%,合格,04-07
莲花白,云南通海,银川物流,0.55%,1.47%,合格,04-07
山药,河北蠡县,中商,0.00%,0.00%,合格,04-07
香蕉,海南乐东,椰枝花,6.04%,5.86%,合格,04-07
芭蕉,海南乐东,椰枝花,6.23%,9.16%,合格,04-07
猕猴桃,陕西秦岭,椰枝花,12.60%,17.20%,合格,04-07
白洋葱,甘肃张掖,东北亚贸易,7.88%,7.14%,合格,04-07
莲藕,琼山七水洋,泳旺,10.40%,11.00%,合格,04-07
菜心,琼山大荒洋,鑫源丰,6.96%,5.13%,合格,04-07
本地小白菜,琼山大荒洋,鑫源丰,2.75%,4.03%,合格,04-07
上海青,琼山大荒洋,鑫源丰,8.42%,7.33%,合格,04-07
小芥菜,琼山大荒洋,鑫源丰,6.04%,5.13%,合格,04-07
黑叶白,琼山大荒洋,鑫源丰,7.51%,8.06%,合格,04-07
青梗小白菜,琼山大荒洋,鑫源丰,12.10%,14.50%,合格,04-07
地瓜叶,琼山大荒洋,鑫源丰,2.01%,6.78%,合格,04-07
芥兰,琼山大荒洋,鑫源丰,9.16%,8.79%,合格,04-07
线椒,琼山大荒洋,鑫源丰,18.50%,19.00%,合格,04-07
茄子,琼山大荒洋,鑫源丰,14.10%,15.80%,合格,04-07
恒鑫,琼山大荒洋,恒鑫,3.85%,5.68%,合格,04-07
地瓜叶,琼山大荒洋,恒鑫,2.20%,2.01%,合格,04-07
地瓜叶,琼山七水洋,泳旺,2.20%,3.48%,合格,04-07
泡椒,琼山七水洋,泳旺,7.14%,3.66%,合格,04-07
本地小白菜,琼山龙湾,光伏,4.40%,3.85%,合格,04-07
黑叶白,琼山龙湾,光伏,3.11%,8.42%,合格,04-07
地瓜叶,琼山七水洋,龙地园,7.88%,3.66%,合格,04-07
圆茄子,琼山大荒洋,湘满园,0.37%,6.41%,合格,04-07
地瓜叶,琼山大荒洋,昌木达,1.47%,2.38%,合格,04-07
香芋南瓜,海南海口,许英梅,0.00%,0.00%,合格,04-07
空心菜,海南临高,东北亚贸易,0.00%,0.37%,合格,04-07
尖椒,云南通海,银川物流,8.42%,3.30%,合格,04-07
菜心,云南通海,银川物流,6.04%,3.30%,合格,04-07
生菜,云南通海,银川物流,3.48%,2.20%,合格,04-06
圆椒,云南通海,银川物流,16.10%,19.20%,合格,04-06
金丝白,云南通海,银川物流,0.00%,0.00%,合格,04-06
胡萝卜,云南通海,银川物流,2.20%,0.00%,合格,04-06
油麦菜,云南通海,银川物流,4.58%,8.97%,合格,04-06
小黄白,云南通海,银川物流,8.42%,14.50%,合格,04-06
小葱,云南通海,银川物流,29.30%,22.50%,合格,04-06
上海青,云南通海,银川物流,4.58%,0.00%,合格,04-06
外地大白菜,云南通海,银川物流,2.75%,0.00%,合格,04-06
莲花白,云南通海,银川物流,14.10%,15.80%,合格,04-06
白萝卜,云南通海,银川物流,0.00%,0.00%,合格,04-06
大葱,云南通海,银川物流,1.65%,0.55%,合格,04-06
苦瓜,云南通海,银川物流,10.80%,0.00%,合格,04-06
尖椒,云南通海,银川物流,4.95%,10.30%,合格,04-06
韭菜,云南通海,银川物流,6.41%,7.69%,合格,04-06
菜心,云南通海,银川物流,4.58%,1.28%,合格,04-06
黄瓜,云南通海,银川物流,11.20%,15.60%,合格,04-06
莴笋,云南通海,银川物流,9.89%,9.16%,合格,04-06
青梗小白菜,云南安宁,中商,4.41%,2.75%,合格,04-06
本地小白菜,海口秀英,自采,0.37%,0.00%,合格,04-06
金针菇,福建漳州,自采,13.20%,0.55%,合格,04-06
杏鲍菇,辽宁大连,自采,2.75%,7.69%,合格,04-06
白玉菇,福建漳州,自采,8.79%,5.86%,合格,04-06
秋葵,海口秀英,自采,1.10%,1.65%,合格,04-06
虫草花,福建漳州,自采,8.42%,10.30%,合格,04-06
平菇,海口秀英,自采,4.21%,5.13%,合格,04-06
鲜香菇,福建漳州,自采,10.60%,2.01%,合格,04-06
莲藕,湖北汉川,自采,4.58%,0.00%,合格,04-06
本地小白菜,琼山龙湾,光伏,9.34%,7.14%,合格,04-06
黑叶白,琼山龙湾,光伏,3.85%,6.23%,合格,04-06
菜心,琼山大荒洋,鑫源丰,6.59%,7.33%,合格,04-06
本地小白菜,琼山大荒洋,鑫源丰,8.42%,6.59%,合格,04-06
金丝白,云南通海,银川物流,4.95%,0.92%,合格,04-04
西红柿,云南通海,银川物流,0.73%,4.40%,合格,04-04
苦瓜,云南通海,银川物流,15.00%,13.90%,合格,04-04
白萝卜,云南通海,银川物流,4.95%,3.66%,合格,04-04
莲花白,云南通海,银川物流,1.47%,1.10%,合格,04-04
黄瓜,云南通海,银川物流,3.48%,0.73%,合格,04-04
大葱,云南通海,银川物流,0.37%,0.92%,合格,04-04
莴笋,云南通海,银川物流,3.66%,6.23%,合格,04-04
西兰花,云南陆良,中商,1.47%,3.66%,合格,04-04
蒜苔,云南通海,银川物流,3.48%,5.49%,合格,04-04
空心菜,云南通海,银川物流,5.49%,0.37%,合格,04-04
本地大黄瓜,海南澄迈,秀英好良心,6.59%,1.83%,合格,04-04
尖椒,云南通海,银川物流,6.23%,6.59%,合格,04-04
圆椒,云南通海,银川物流,2.01%,2.01%,合格,04-04
本地小白菜,琼山七水洋,泳旺,9.16%,6.96%,合格,04-04
黑叶白,琼山七水洋,泳旺,12.80%,12.50%,合格,04-04
韭菜,云南通海,银川物流,5.13%,6.96%,合格,04-04
生姜,琼山七水洋,进利,0.73%,3.66%,合格,04-04
蒜头,琼山七水洋,进利,3.30%,1.10%,合格,04-04
冬瓜,云南通海,银川物流,3.48%,0.00%,合格,04-04
茄子,云南通海,银川物流,0.37%,1.28%,合格,04-05
圆椒,云南通海,银川物流,3.66%,3.66%,合格,04-05
金丝白,云南通海,银川物流,1.65%,4.40%,合格,04-05
莲花白,云南通海,银川物流,13.00%,15.00%,合格,04-05
黑叶白,琼山七水洋,泳旺,11.20%,11.00%,合格,04-05
本地小白菜,琼山七水洋,泳旺,6.23%,5.49%,合格,04-05
芋头,琼山七水洋,泳旺,2.01%,2.20%,合格,04-05
大葱,云南通海,银川物流,8.79%,7.69%,合格,04-05
山药,河北蠡县,中商,1.47%,1.28%,合格,04-05
生姜,琼山七水洋,进利,2.01%,2.38%,合格,04-05
蒜头,琼山七水洋,进利,0.00%,1.28%,合格,04-05
土豆,云南通海,银川物流,6.23%,8.24%,合格,04-05
莴笋,云南通海,银川物流,5.31%,3.85%,合格,04-05
白洋葱,甘肃张掖,东北亚,5.49%,0.00%,合格,04-05
香芋南瓜,海南海口,许英梅,2.01%,1.65%,合格,04-05
菜心,琼山大荒洋,鑫源丰,15.60%,11.40%,合格,04-05
本地小白菜,琼山大荒洋,鑫源丰,7.51%,10.60%,合格,04-05
小芥菜,琼山大荒洋,鑫源丰,3.85%,0.92%,合格,04-05
地瓜叶,琼山大荒洋,鑫源丰,6.41%,8.42%,合格,04-05
芥兰,琼山大荒洋,鑫源丰,18.70%,20.70%,合格,04-05
上海青,琼山大荒洋,昌木达,2.20%,4.21%,合格,04-04
地瓜叶,琼山大荒洋,昌木达,2.20%,3.66%,合格,04-04
线椒,琼山大荒洋,昌木达,8.42%,3.30%,合格,04-04
苋菜,琼山大荒洋,昌木达,4.76%,4.40%,合格,04-04
本地小白菜,琼山大荒洋,鑫源丰,4.21%,3.85%,合格,04-04
小芥菜,琼山大荒洋,鑫源丰,5.31%,5.31%,合格,04-04
地瓜叶,琼山大荒洋,鑫源丰,6.04%,0.92%,合格,04-04
泡椒,琼山大荒洋,鑫源丰,3.11%,5.31%,合格,04-04
地瓜,琼山大荒洋,鑫源丰,8.06%,2.75%,合格,04-04
芥兰,琼山大荒洋,鑫源丰,4.75%,4.76%,合格,04-04
茄子,琼山大荒洋,鑫源丰,11.40%,1.47%,合格,04-04
地瓜叶,琼山大荒洋,恒鑫,2.56%,6.96%,合格,04-04
圆茄子,琼山大荒洋,湘满园,5.49%,3.66%,合格,04-04
小葱,云南通海,银川物流,4.95%,5.86%,合格,04-04
茄子,云南通海,银川物流,6.04%,5.68%,合格,04-04
莲藕,琼山七水洋,泳旺,5.13%,5.68%,合格,04-04
山药,河北蠡县,中商,8.42%,6.96%,合格,04-04
香芋南瓜,海南海口,许英梅,5.13%,4.03%,合格,04-04
胡萝卜,云南通海,银川物流,7.88%,4.03%,合格,04-04
生菜,云南通海,银川物流,20.50%,17.60%,合格,04-03
菠菜,云南通海,东北亚,13.90%,15.60%,合格,04-05
上海青,云南通海,银川物流,21.80%,19.80%,合格,04-05
大芥菜,云南陆良,东北亚,15.60%,16.50%,合格,04-05
油麦菜,云南通海,银川物流,14.70%,16.30%,合格,04-05
小黄白,云南通海,银川物流,7.69%,4.58%,合格,04-05
青梗小白菜,云南安宁,中商,8.42%,8.42%,合格,04-05
香菜,琼山七水洋,泳旺,13.90%,15.20%,合格,04-05
皇帝菜,山东寿光,中商,8.42%,8.61%,合格,04-05
西兰花,云南陆良,中商,12.60%,14.80%,合格,04-05
蒜苔,云南通海,银川物流,7.69%,7.69%,合格,04-05
外地大白菜,云南通海,银川物流,10.80%,9.16%,合格,04-05
红富士,山西运城,椰枝花,11.20%,8.61%,合格,04-05
蜜梨,四川华蓥,椰枝花,4.03%,1.10%,合格,04-05
贡梨,安徽砀山,椰枝花,4.95%,4.40%,合格,04-05
沃柑,广西武鸣,椰枝花,4.40%,3.48%,合格,04-05
香蕉,海南乐东,椰枝花,5.49%,6.04%,合格,04-05
芭蕉,海南乐东,椰枝花,4.95%,5.49%,合格,04-05
冬瓜,云南通海,银川物流,7.51%,3.11%,合格,04-05
南瓜,云南通海,银川物流,8.42%,6.96%,合格,04-05
菜心,云南通海,银川物流,11.70%,10.60%,合格,04-05
尖椒,云南通海,银川物流,3.66%,4.58%,合格,04-04
圆椒,云南通海,银川物流,0.00%,3.11%,合格,04-04
蒜苗,云南通海,东北亚,11.00%,5.31%,合格,04-04
小香芹,云南通海,东北亚,1.47%,5.68%,合格,04-04
大芥菜,云南陆良,东北亚,7.33%,5.86%,合格,04-04
上海青,云南通海,银川物流,3.30%,5.49%,合格,04-04
菠菜,云南通海,东北亚,2.38%,0.00%,合格,04-04
小黄白,云南通海,银川物流,0.00%,2.75%,合格,04-04
油麦菜,云南通海,银川物流,5.49%,2.56%,合格,04-04
西芹,云南通海,银川物流,4.95%,5.86%,合格,04-04
土豆,云南通海,银川物流,2.20%,6.04%,合格,04-04
外地大白菜,云南通海,银川物流,7.33%,6.41%,合格,04-04
娃娃菜,云南通海,银川物流,0.18%,7.69%,合格,04-04
空心菜,海南临高,东北亚,6.41%,7.69%,合格,04-04
生菜,云南通海,银川物流,8.42%,3.66%,合格,04-04
芋头,琼山七水洋,泳旺,7.69%,6.23%,合格,04-04
皇帝菜,山东寿光,中商,4.03%,5.49%,合格,04-04
香菜,琼山七水洋,泳旺,7.33%,6.59%,合格,04-04
青梗小白菜,云南安宁,中商,5.68%,5.68%,合格,04-04
菜心,云南通海,银川物流,8.97%,10.80%,合格,04-04
皇帝菜,山东寿光,中商,6.23%,0.92%,合格,04-02
土豆,云南通海,银川物流,1.65%,7.69%,合格,04-02
生姜,琼山七水洋,进利,2.93%,7.69%,合格,04-02
蒜头,琼山七水洋,进利,8.97%,9.71%,合格,04-02
